Date,Open,High,Low,Close
16/02/2024 12:50,134708,134775,134646,134677
16/02/2024 12:55,134677,134682,134600,134656
16/02/2024 13:00,134656,134723,134615,134641
16/02/2024 13:05,134636,134646,134564,134574
16/02/2024 13:10,134574,134625,134558,134600
16/02/2024 13:15,134600,134636,134527,134548
16/02/2024 13:20,134548,134605,134455,134507
16/02/2024 13:25,134507,134558,134466,134543
16/02/2024 13:30,134538,134558,134476,134548
16/02/2024 13:35,134543,134584,134476,134527
16/02/2024 13:40,134527,134574,134491,134538
16/02/2024 13:45,134543,134569,134430,134460
16/02/2024 13:50,134460,134497,134404,134419
16/02/2024 13:55,134414,134486,134373,134419
16/02/2024 14:00,134424,134471,134363,134419
16/02/2024 14:05,134419,134471,134368,134435
16/02/2024 14:10,134430,134476,134378,134450
16/02/2024 14:15,134455,134455,134337,134363
16/02/2024 14:20,134363,134517,134347,134507
16/02/2024 14:25,134507,134569,134486,134558
16/02/2024 14:30,134564,134584,134527,134564
16/02/2024 14:35,134564,134589,134517,134574
16/02/2024 14:40,134579,134589,134527,134579
16/02/2024 14:45,134584,134631,134558,134595
16/02/2024 14:50,134595,134765,134558,134744
16/02/2024 14:55,134744,134806,134723,134801
16/02/2024 15:00,134801,134868,134713,134754
16/02/2024 15:05,134754,134785,134672,134770
16/02/2024 15:10,134770,134770,134656,134718
16/02/2024 15:15,134718,134826,134713,134816
16/02/2024 15:20,134816,135084,134806,135053
16/02/2024 15:25,135053,135100,134991,135064
16/02/2024 15:30,135064,135105,134976,135002
16/02/2024 15:35,135002,135074,134976,134997
16/02/2024 15:40,134997,135053,134945,135002
16/02/2024 15:45,135002,135022,134945,134997
16/02/2024 15:50,134997,135033,134976,134991
16/02/2024 15:55,134991,135069,134976,135022
16/02/2024 16:00,135022,135100,135022,135064
16/02/2024 16:05,135069,135156,135064,135105
16/02/2024 16:10,135105,135141,135048,135053
16/02/2024 16:15,135058,135167,135043,135136
16/02/2024 16:20,135131,135203,135110,135192
16/02/2024 16:25,135192,135218,135125,135167
16/02/2024 16:30,135172,135187,135105,135167
16/02/2024 16:35,135162,135229,135146,135182
16/02/2024 16:40,135182,135218,135172,135203
16/02/2024 16:45,135208,135208,134971,135043
16/02/2024 16:50,135043,135053,134966,135012
16/02/2024 16:55,135002,135028,134924,135028
16/02/2024 17:00,135028,135028,134878,134930
16/02/2024 17:05,134924,134976,134914,134945
16/02/2024 17:10,134940,134955,134868,134914
16/02/2024 17:15,134914,135002,134893,134971
16/02/2024 17:20,134971,135079,134940,135048
16/02/2024 17:25,135048,135089,135028,135053
16/02/2024 17:30,135053,135100,134997,135043
16/02/2024 17:35,135043,135053,134976,135002
16/02/2024 17:40,134997,135007,134909,134955
16/02/2024 17:45,134961,134997,134837,134842
16/02/2024 17:50,134842,134940,134821,134904
16/02/2024 17:55,134904,134930,134857,134857
16/02/2024 18:00,134863,134919,134816,134837
16/02/2024 18:05,134832,134878,134816,134842
16/02/2024 18:10,134847,134914,134801,134893
16/02/2024 18:15,134904,134919,134842,134888
16/02/2024 18:20,134878,134893,134801,134883
19/02/2024 09:00,134507,134620,134414,134507
19/02/2024 09:05,134507,134569,134455,134522
19/02/2024 09:10,134527,134527,134440,134460
19/02/2024 09:15,134466,134466,134424,134455
19/02/2024 09:20,134455,134522,134440,134491
19/02/2024 09:25,134486,134491,134393,134471
19/02/2024 09:30,134471,134538,134430,134538
19/02/2024 09:35,134538,134538,134476,134502
19/02/2024 09:40,134502,134512,134455,134481
19/02/2024 09:45,134486,134497,134440,134440
19/02/2024 09:50,134440,134471,134399,134460
19/02/2024 09:55,134466,134466,134337,134357
19/02/2024 10:00,134357,134419,134301,134347
19/02/2024 10:05,134347,134388,134285,134321
19/02/2024 10:10,134321,134419,134316,134352
19/02/2024 10:15,134347,134393,134301,134363
19/02/2024 10:20,134363,134486,134342,134347
19/02/2024 10:25,134347,134414,134249,134259
19/02/2024 10:30,134254,134316,134213,134275
19/02/2024 10:35,134270,134306,134161,134203
19/02/2024 10:40,134203,134208,134141,134172
19/02/2024 10:45,134167,134234,134125,134177
19/02/2024 10:50,134172,134213,134115,134203
19/02/2024 10:55,134203,134311,134177,134290
19/02/2024 11:00,134290,134337,134229,134332
19/02/2024 11:05,134332,134342,134167,134213
19/02/2024 11:10,134218,134296,134151,134270
19/02/2024 11:15,134270,134342,134239,134321
19/02/2024 11:20,134326,134522,134301,134481
19/02/2024 11:25,134481,134564,134424,134466
19/02/2024 11:30,134471,134584,134460,134553
19/02/2024 11:35,134558,134579,134440,134450
19/02/2024 11:40,134450,134538,134378,134450
19/02/2024 11:45,134445,134455,134352,134357
19/02/2024 11:50,134357,134466,134301,134466
19/02/2024 11:55,134466,134533,134419,134486
19/02/2024 12:00,134486,134641,134481,134610
19/02/2024 12:05,134610,134615,134460,134569
19/02/2024 12:10,134574,134579,134430,134527
19/02/2024 12:15,134527,134620,134466,134605
